,num1(100),num1(10),num1(1),num2(100),num2(10),num2(1),+/-
0,4,1,2,1,5,7,0
1,6,4,9,2,9,1,0
2,0,1,6,4,4,3,0
3,3,3,9,4,8,7,0
4,8,5,9,3,7,9,0
5,7,0,4,2,0,3,0
6,0,8,4,9,4,3,0
7,8,9,9,2,7,1,0
8,5,5,2,1,0,9,0
9,1,4,1,8,3,7,0
10,1,8,4,3,8,1,0
11,4,4,8,7,5,5,0
12,5,6,4,4,2,4,0
13,4,9,1,1,4,1,0
14,6,8,6,7,4,9,0
15,5,3,7,3,1,5,0
16,2,5,1,6,2,7,0
17,7,6,5,0,4,4,0
18,0,8,7,4,7,4,0
19,5,5,8,3,8,2,0
20,7,3,2,3,4,0,0
21,0,9,0,0,5,1,0
22,1,5,8,1,9,3,0
23,8,7,3,5,4,3,0
24,4,1,2,2,4,5,0
25,3,7,1,8,0,5,0
26,2,2,6,8,8,9,0
27,9,4,3,5,8,7,0
28,2,4,1,8,7,2,0
29,9,1,5,9,1,2,0
30,4,2,5,4,7,3,0
31,3,7,5,8,9,8,0
32,6,4,1,4,0,8,0
33,1,3,3,8,4,2,0
34,1,1,8,3,0,5,0
35,0,2,2,3,8,0,0
36,2,8,3,8,7,9,0
37,8,0,6,1,0,3,0
38,2,1,3,9,8,8,0
39,1,2,2,9,3,6,0
40,8,9,3,5,4,1,0
41,6,1,2,1,9,9,0
42,0,0,3,3,0,1,0
43,1,7,2,0,2,5,0
44,2,7,5,8,9,2,0
45,5,0,3,7,4,1,0
46,3,9,5,3,3,1,0
47,4,0,0,6,7,5,0
48,0,9,2,3,9,1,0
49,1,0,3,6,4,1,0
50,7,0,0,4,3,4,0
51,2,9,9,6,4,3,0
52,5,2,5,6,3,3,0
53,8,1,7,3,4,5,0
54,2,3,2,9,3,7,0
55,0,2,7,6,4,4,0
56,5,8,6,9,3,3,0
57,3,9,6,2,8,6,0
58,6,5,9,7,8,5,0
59,6,3,3,6,0,7,0
60,3,2,1,3,5,4,0
61,7,5,3,3,8,2,0
62,2,7,0,5,1,0,0
63,9,2,7,7,4,7,0
64,2,4,1,9,3,8,0
65,4,8,2,4,2,2,0
66,9,4,5,8,2,8,0
67,1,7,8,9,9,9,0
68,0,3,1,3,7,0,0
69,8,4,0,5,1,4,0
70,3,1,4,8,8,6,0
71,5,4,5,2,1,8,0
72,0,6,6,8,5,0,0
73,5,7,1,7,6,6,0
74,1,6,1,9,3,2,0
75,9,7,9,0,6,6,0
76,9,4,9,2,8,6,0
77,9,0,2,5,0,8,0
78,4,5,9,4,0,3,0
79,1,0,0,6,6,5,0
80,0,3,7,9,6,5,0
81,2,8,8,0,4,3,0
82,2,3,9,2,5,6,0
83,5,8,5,6,4,7,0
84,7,2,5,0,3,3,0
85,7,6,5,5,3,3,0
86,7,3,4,3,7,2,0
87,7,0,2,8,6,1,0
88,4,2,5,8,4,1,0
89,2,4,6,4,5,6,0
90,4,1,5,8,1,3,0
91,4,4,3,1,0,9,0
92,8,0,7,7,4,6,0
93,9,1,1,2,3,1,0
94,4,2,8,8,3,5,0
95,1,4,8,7,7,2,0
96,0,0,0,1,6,8,0
97,0,9,6,2,6,9,0
98,1,0,7,9,5,8,0
99,5,3,0,5,8,1,0
100,9,4,7,2,7,1,0
101,3,2,0,1,1,3,0
102,9,8,0,5,4,7,0
103,9,6,5,5,4,0,0
104,6,8,2,7,5,6,0
105,3,3,5,4,3,5,0
106,3,5,4,4,4,8,0
107,7,3,7,2,8,2,0
108,2,3,9,6,4,3,0
109,0,6,9,1,6,5,0
110,7,3,5,7,0,8,0
111,2,0,4,1,8,2,0
112,2,1,4,1,8,0,0
113,7,6,1,6,0,6,0
114,1,5,1,4,9,2,0
115,9,7,0,2,7,2,0
116,2,1,2,5,8,4,0
117,2,7,3,4,8,7,0
118,3,0,2,0,8,5,0
119,6,8,8,4,4,0,0
120,9,5,4,7,9,3,0
121,9,7,3,5,2,1,0
122,4,9,9,7,3,5,0
123,6,9,9,0,0,0,0
124,8,2,9,1,7,2,0
125,3,5,6,6,1,0,0
126,6,8,1,3,5,3,0
127,6,3,3,0,1,3,0
128,6,1,6,3,3,0,0
129,0,6,8,3,1,7,0
130,9,5,7,0,4,2,0
131,0,6,9,2,9,6,0
132,2,0,6,7,3,9,0
133,8,4,5,6,8,6,0
134,3,7,1,3,6,0,0
135,3,0,2,5,2,7,0
136,2,3,1,8,5,7,0
137,4,3,2,1,8,8,0
138,2,2,0,3,1,6,0
139,0,2,6,3,9,9,0
140,6,4,7,0,5,7,0
141,2,7,7,6,0,0,0
142,1,7,1,3,3,7,0
143,7,2,2,4,5,1,0
144,4,1,7,7,0,9,0
145,6,5,3,3,1,2,0
146,4,0,3,0,5,2,0
147,8,3,5,9,8,6,0
148,8,5,7,2,7,2,0
149,8,2,7,8,8,7,0
150,9,4,4,5,2,0,0
151,2,1,6,5,9,7,0
152,7,6,5,9,9,3,0
153,7,6,6,1,0,5,0
154,4,5,9,7,8,6,0
155,0,9,6,7,9,2,0
156,9,2,8,4,6,6,0
157,2,8,8,2,3,5,0
158,5,1,0,3,6,0,0
159,7,9,1,5,4,8,0
160,2,1,2,6,2,8,0
161,3,9,2,3,7,8,0
162,7,9,8,7,6,2,0
163,2,6,9,6,1,6,0
164,6,0,8,6,4,2,0
165,7,0,8,1,1,4,0
166,2,8,2,6,9,6,0
167,1,8,0,9,3,5,0
168,0,8,5,8,8,1,0
169,1,1,1,9,4,7,0
170,4,0,4,1,6,5,0
171,9,8,4,4,6,6,0
172,8,4,8,3,7,9,0
173,1,6,0,5,5,2,0
174,2,1,0,0,4,8,0
175,3,1,5,2,6,0,0
176,3,0,4,8,0,0,0
177,2,5,3,9,3,4,0
178,4,6,0,0,5,4,0
179,6,1,4,6,3,4,0
180,6,0,1,9,3,4,0
181,8,4,6,6,5,9,0
182,8,6,3,9,1,9,0
183,1,2,5,7,8,7,0
184,0,7,6,0,0,9,0
185,3,3,7,8,6,4,0
186,8,4,9,3,1,3,0
187,6,7,8,6,5,3,0
188,0,6,7,5,3,3,0
