,ans(1000),ans(100),ans(10),ans(1),+/-
0,0,5,6,9,0
1,0,9,4,0,0
2,0,4,5,9,0
3,0,8,2,6,0
4,1,2,3,8,0
5,0,9,0,7,0
6,1,0,2,7,0
7,1,1,7,0,0
8,0,6,6,1,0
9,0,9,7,8,0
10,0,5,6,5,0
11,1,2,0,3,0
12,0,9,8,8,0
13,0,6,3,2,0
14,1,4,3,5,0
15,0,8,5,2,0
16,0,8,7,8,0
17,0,8,0,9,0
18,0,5,6,1,0
19,0,9,4,0,0
20,1,0,7,2,0
21,0,1,4,1,0
22,0,3,5,1,0
23,1,4,1,6,0
24,0,6,5,7,0
25,1,1,7,6,0
26,1,1,1,5,0
27,1,5,3,0,0
28,1,1,1,3,0
29,1,8,2,7,0
30,0,8,9,8,0
31,1,2,7,3,0
32,1,0,4,9,0
33,0,9,7,5,0
34,0,4,2,3,0
35,0,4,0,2,0
36,1,1,6,2,0
37,0,9,0,9,0
38,1,2,0,1,0
39,1,0,5,8,0
40,1,4,3,4,0
41,0,8,1,1,0
42,0,3,0,4,0
43,0,1,9,7,0
44,1,1,6,7,0
45,1,2,4,4,0
46,0,7,2,6,0
47,1,0,7,5,0
48,0,4,8,3,0
49,0,7,4,4,0
50,1,1,3,4,0
51,0,9,4,2,0
52,1,1,5,8,0
53,1,1,6,2,0
54,1,1,6,9,0
55,0,6,7,1,0
56,1,5,1,9,0
57,0,6,8,2,0
58,1,4,4,4,0
59,1,2,4,0,0
60,0,6,7,5,0
61,1,1,3,5,0
62,0,7,8,0,0
63,1,6,7,4,0
64,1,1,7,9,0
65,0,9,0,4,0
66,1,7,7,3,0
67,1,1,7,7,0
68,0,4,0,1,0
69,1,3,5,4,0
70,1,2,0,0,0
71,0,7,6,3,0
72,0,9,1,6,0
73,1,3,3,7,0
74,1,0,9,3,0
75,1,0,4,5,0
76,1,2,3,5,0
77,1,4,1,0,0
78,0,8,6,2,0
79,0,7,6,5,0
80,1,0,0,2,0
81,0,3,3,1,0
82,0,4,9,5,0
83,1,2,3,2,0
84,0,7,5,8,0
85,1,2,9,8,0
86,1,1,0,6,0
87,1,5,6,3,0
88,1,2,6,6,0
89,0,7,0,2,0
90,1,2,2,8,0
91,0,5,5,2,0
92,1,5,5,3,0
93,1,1,4,2,0
94,1,2,6,3,0
95,0,9,2,0,0
96,0,1,6,8,0
97,0,3,6,5,0
98,1,0,6,5,0
99,1,1,1,1,0
100,1,2,1,8,0
101,0,4,3,3,0
102,1,5,2,7,0
103,1,5,0,5,0
104,1,4,3,8,0
105,0,7,7,0,0
106,0,8,0,2,0
107,1,0,1,9,0
108,0,8,8,2,0
109,0,2,3,4,0
110,1,4,4,3,0
111,0,3,8,6,0
112,0,3,9,4,0
113,1,3,6,7,0
114,0,6,4,3,0
115,1,2,4,2,0
116,0,7,9,6,0
117,0,7,6,0,0
118,0,3,8,7,0
119,1,1,2,8,0
120,1,7,4,7,0
121,1,4,9,4,0
122,1,2,3,4,0
123,0,6,9,9,0
124,1,0,0,1,0
125,0,9,6,6,0
126,1,0,3,4,0
127,0,6,4,6,0
128,0,9,4,6,0
129,0,3,8,5,0
130,0,9,9,9,0
131,0,3,6,5,0
132,0,9,4,5,0
133,1,5,3,1,0
134,0,7,3,1,0
135,0,8,2,9,0
136,1,0,8,8,0
137,0,6,2,0,0
138,0,5,3,6,0
139,0,4,2,5,0
140,0,7,0,4,0
141,0,8,7,7,0
142,0,5,0,8,0
143,1,1,7,3,0
144,1,1,2,6,0
145,0,9,6,5,0
146,0,4,5,5,0
147,1,8,2,1,0
148,1,1,2,9,0
149,1,7,1,4,0
150,1,4,6,4,0
151,0,8,1,3,0
152,1,7,5,8,0
153,0,8,7,1,0
154,1,2,4,5,0
155,0,8,8,8,0
156,1,3,9,4,0
157,0,5,2,3,0
158,0,8,7,0,0
159,1,3,3,9,0
160,0,8,4,0,0
161,0,7,7,0,0
162,1,5,6,0,0
163,0,8,8,5,0
164,1,2,5,0,0
165,0,8,2,2,0
166,0,9,7,8,0
167,1,1,1,5,0
168,0,9,6,6,0
169,1,0,5,8,0
170,0,5,6,9,0
171,1,4,5,0,0
172,1,2,2,7,0
173,0,7,1,2,0
174,0,2,5,8,0
175,0,5,7,5,0
176,1,1,0,4,0
177,1,1,8,7,0
178,0,5,1,4,0
179,1,2,4,8,0
180,1,5,3,5,0
181,1,5,0,5,0
182,1,7,8,2,0
183,0,9,1,2,0
184,0,0,8,5,0
185,1,2,0,1,0
186,1,1,6,2,0
187,1,3,3,1,0
188,0,6,0,0,0
189,1,1,6,9,0
190,1,3,2,0,0
191,1,5,5,4,0
192,0,9,1,3,0
193,0,7,8,1,0
194,0,5,9,0,0
195,1,2,4,4,0
196,1,0,7,3,0
197,0,8,4,0,0
198,0,9,7,3,0
199,1,1,7,4,0
200,0,8,2,6,0
201,1,0,2,6,0
202,1,2,5,0,0
203,0,2,1,7,0
204,0,1,8,6,0
205,0,7,2,8,0
206,0,2,7,6,0
207,0,3,5,2,0
208,1,0,6,4,0
209,0,8,6,5,0
210,1,1,5,1,0
211,0,2,3,8,0
212,0,4,8,6,0
213,0,4,3,0,0
214,0,7,3,0,0
215,0,4,8,7,0
216,0,8,2,8,0
217,1,6,1,1,0
218,0,8,0,9,0
219,1,5,5,2,0
220,0,2,4,2,0
221,0,8,2,7,0
222,0,7,5,4,0
